Detecting primes....................................Bits: 156, time = 3s
Detecting composites................................Bits: 156, time = 0s
Detecting primes....................................Bits: 158, time = 3s
Detecting composites................................Bits: 158, time = 0s
Detecting primes....................................Bits: 160, time = 3s
Detecting composites................................Bits: 160, time = 0s
Detecting primes....................................Bits: 162, time = 4s
Detecting composites................................Bits: 162, time = 0s
Detecting primes....................................Bits: 164, time = 4s
Detecting composites................................Bits: 164, time = 0s
Detecting primes....................................Bits: 166, time = 5s
Detecting composites................................Bits: 166, time = 0s
Detecting primes....................................Bits: 168, time = 5s
Detecting composites................................Bits: 168, time = 0s
Detecting primes....................................Bits: 170, time = 5s
Detecting composites................................Bits: 170, time = 0s
Detecting primes....................................Bits: 172, time = 5s
Detecting composites................................Bits: 172, time = 0s
Detecting primes....................................Bits: 174, time = 5s
Detecting composites................................Bits: 174, time = 0s
Detecting primes....................................Bits: 176, time = 6s
Detecting composites................................Bits: 176, time = 0s
Detecting primes....................................Bits: 178, time = 6s
Detecting composites................................Bits: 178, time = 0s
Detecting primes....................................Bits: 180, time = 6s
Detecting composites................................Bits: 180, time = 0s
Detecting primes....................................Bits: 182, time = 6s
Detecting composites................................Bits: 182, time = 0s
Detecting primes....................................Bits: 184, time = 7s
Detecting composites................................Bits: 184, time = 0s
Detecting primes....................................Bits: 186, time = 7s
Detecting composites................................Bits: 186, time = 0s
Detecting primes....................................Bits: 188, time = 7s
Detecting composites................................Bits: 188, time = 0s
Detecting primes....................................Bits: 190, time = 7s
Detecting composites................................Bits: 190, time = 0s
Detecting primes....................................Bits: 192, time = 8s
Detecting composites................................Bits: 192, time = 0s
Detecting primes....................................Bits: 194, time = 10s
Detecting composites................................Bits: 194, time = 0s
Detecting primes....................................Bits: 196, time = 10s
Detecting composites................................Bits: 196, time = 0s
Detecting primes....................................Bits: 198, time = 11s
Detecting composites................................Bits: 198, time = 0s
Detecting primes....................................Bits: 200, time = 11s
Detecting composites................................Bits: 200, time = 0s
Detecting primes....................................Bits: 202, time = 11s
Detecting composites................................Bits: 202, time = 0s
Detecting primes....................................Bits: 204, time = 12s
Detecting composites................................Bits: 204, time = 0s
Detecting primes....................................Bits: 206, time = 12s
Detecting composites................................Bits: 206, time = 0s
Detecting primes....................................Bits: 208, time = 13s
Detecting composites................................Bits: 208, time = 0s
Detecting primes....................................Bits: 210, time = 13s
Detecting composites................................Bits: 210, time = 0s
Detecting primes....................................Bits: 212, time = 13s
Detecting composites................................Bits: 212, time = 0s
Detecting primes....................................Bits: 214, time = 14s
Detecting composites................................Bits: 214, time = 0s
Detecting primes....................................Bits: 216, time = 14s
Detecting composites................................Bits: 216, time = 0s
Detecting primes....................................Bits: 218, time = 15s
Detecting composites................................Bits: 218, time = 0s
Detecting primes....................................Bits: 220, time = 15s
Detecting composites................................Bits: 220, time = 0s
Detecting primes....................................Bits: 222, time = 16s
Detecting composites................................Bits: 222, time = 0s
Detecting primes....................................Bits: 224, time = 17s
Detecting composites................................Bits: 224, time = 0s
Detecting primes....................................Bits: 226, time = 20s
Detecting composites................................Bits: 226, time = 0s
Detecting primes....................................Bits: 228, time = 21s
Detecting composites................................Bits: 228, time = 0s
Detecting primes....................................Bits: 230, time = 21s
Detecting composites................................Bits: 230, time = 0s
Detecting primes....................................Bits: 232, time = 22s
Detecting composites................................Bits: 232, time = 0s
Detecting primes....................................Bits: 234, time = 22s
Detecting composites................................Bits: 234, time = 0s
Detecting primes....................................Bits: 236, time = 23s
Detecting composites................................Bits: 236, time = 0s
Detecting primes....................................Bits: 238, time = 24s
Detecting composites................................Bits: 238, time = 0s
Detecting primes....................................Bits: 240, time = 25s
Detecting composites................................Bits: 240, time = 0s
Detecting primes....................................Bits: 242, time = 26s
Detecting composites................................Bits: 242, time = 0s
Detecting primes....................................Bits: 244, time = 26s
Detecting composites................................Bits: 244, time = 0s
Detecting primes....................................Bits: 246, time = 27s
Detecting composites................................Bits: 246, time = 0s
Detecting primes....................................Bits: 248, time = 27s
Detecting composites................................Bits: 248, time = 0s
Detecting primes....................................Bits: 250, time = 28s
Detecting composites................................Bits: 250, time = 0s
Detecting primes....................................Bits: 252, time = 29s
Detecting composites................................Bits: 252, time = 0s
Detecting primes....................................Bits: 254, time = 30s
Detecting composites................................Bits: 254, time = 0s
Detecting primes....................................Bits: 256, time = 31s
Detecting composites................................Bits: 256, time = 0s
Detecting primes....................................Bits: 258, time = 38s
Detecting composites................................Bits: 258, time = 0s
Detecting primes....................................Bits: 260, time = 39s
Detecting composites................................Bits: 260, time = 0s
Detecting primes....................................Bits: 262, time = 40s
Detecting composites................................Bits: 262, time = 0s
Detecting primes....................................Bits: 264, time = 41s
Detecting composites................................Bits: 264, time = 0s
Detecting primes....................................Bits: 266, time = 41s
Detecting composites................................Bits: 266, time = 0s
Detecting primes....................................Bits: 268, time = 42s
Detecting composites................................Bits: 268, time = 0s
Detecting primes....................................Bits: 270, time = 43s
Detecting composites................................Bits: 270, time = 0s
Detecting primes....................................Bits: 272, time = 44s
Detecting composites................................Bits: 272, time = 0s
Detecting primes....................................Bits: 274, time = 45s
Detecting composites................................Bits: 274, time = 0s
Detecting primes....................................Bits: 276, time = 46s
Detecting composites................................Bits: 276, time = 0s
Detecting primes....................................Bits: 278, time = 47s
Detecting composites................................Bits: 278, time = 0s
Detecting primes....................................Bits: 280, time = 48s
Detecting composites................................Bits: 280, time = 0s
Detecting primes....................................Bits: 282, time = 49s
Detecting composites................................Bits: 282, time = 0s
Detecting primes....................................Bits: 284, time = 50s
Detecting composites................................Bits: 284, time = 0s
Detecting primes....................................Bits: 286, time = 52s
Detecting composites................................Bits: 286, time = 0s
Detecting primes....................................Bits: 288, time = 54s
Detecting composites................................Bits: 288, time = 0s
Detecting primes....................................Bits: 290, time = 63s
Detecting composites................................Bits: 290, time = 0s
Detecting primes....................................Bits: 292, time = 65s
Detecting composites................................Bits: 292, time = 0s
Detecting primes....................................Bits: 294, time = 66s
Detecting composites................................Bits: 294, time = 0s
Detecting primes....................................Bits: 296, time = 68s
Detecting composites................................Bits: 296, time = 0s
Detecting primes....................................Bits: 298, time = 69s
Detecting composites................................Bits: 298, time = 0s
Detecting primes.......................
